District,state,Population,Growth,Sex-Ratio,Literacy
Thiruvananthapuram,Kerala,"33,01,427",2.07%,1087,93.02
Ernakulam,Kerala,"32,82,388",5.69%,1027,95.89
Indore,Madhya Pradesh,"32,76,697",32.88%,928,80.87
Purnia,Bihar,"32,64,619",28.33%,921,51.08
Barabanki,Uttar Pradesh,"32,60,699",21.96%,910,61.75
Ballia,Uttar Pradesh,"32,39,774",17.31%,937,70.94
Pratapgarh,Uttar Pradesh,"32,09,141",17.50%,998,70.09
Thrissur,Kerala,"31,21,200",4.94%,1108,95.08
Banaskantha,Gujarat,"31,20,506",24.61%,938,65.32
Unnao,Uttar Pradesh,"31,08,367",15.11%,907,66.37
Deoria,Uttar Pradesh,"31,00,946",14.31%,1017,71.13
Kozhikode,Kerala,"30,86,293",7.20%,1098,95.08
Mumbai City,Maharashtra,"30,85,411",-7.57%,832,89.21
Tirunelveli,Tamil Nadu,"30,77,233",12.97%,1023,82.5
Katihar,Bihar,"30,71,029",28.35%,919,52.24
Udaipur,Rajasthan,"30,68,420",23.69%,958,61.82
Madurai,Tamil Nadu,"30,38,252",17.84%,990,83.45
Bhagalpur,Bihar,"30,37,766",25.36%,880,63.14
Medak,Andhra Pradesh,"30,33,288",13.60%,992,61.42
Uttar Dinajpur,West Bengal,"30,07,134",23.15%,939,59.07
Shahjahanpur,Uttar Pradesh,"30,06,538",18.00%,872,59.54
Satara,Maharashtra,"30,03,741",6.93%,988,82.87
Mysore,Karnataka,"30,01,127",13.63%,985,72.79
Begusarai,Bihar,"29,70,541",26.44%,895,63.87
Sri Potti Sriramulu Nellore,Andhra Pradesh,"29,63,557",11.05%,985,68.9
Rohtas,Bihar,"29,59,918",20.78%,918,73.37
Puruliya,West Bengal,"29,30,115",15.52%,957,64.48
Ranchi,Jharkhand,"29,14,253",23.98%,949,76.06
Amravati,Maharashtra,"28,88,445",10.79%,951,87.38
YSR,Andhra Pradesh,"28,82,469",10.79%,985,67.3
Bhavnagar,Gujarat,"28,80,365",16.63%,933,75.52
Nalanda,Bihar,"28,77,653",21.39%,922,64.43
Nagaon,Assam,"28,23,768",22.00%,962,72.37
Sangli,Maharashtra,"28,22,143",9.24%,966,81.48
Koch Bihar,West Bengal,"28,19,086",13.71%,942,74.78
Araria,Bihar,"28,11,569",30.25%,921,53.53
Palakkad,Kerala,"28,09,934",7.35%,1067,89.31
Khammam,Andhra Pradesh,"27,97,370",8.47%,1011,64.81
Yavatmal,Maharashtra,"27,72,348",12.78%,952,82.82
Junagadh,Gujarat,"27,43,082",12.05%,953,75.8
Adilabad,Andhra Pradesh,"27,41,239",10.18%,1001,61.01
South Delhi,Delhi,"27,31,929",20.51%,862,86.57
Bhojpur,Bihar,"27,28,407",21.63%,907,70.47
Tiruchirappalli,Tamil Nadu,"27,22,290",12.57%,1013,83.23
Srikakulam,Andhra Pradesh,"27,03,114",6.52%,1015,61.74
Maharajganj,Uttar Pradesh,"26,84,703",23.50%,943,62.76
Dhanbad,Jharkhand,"26,84,487",11.99%,909,74.52
Tumkur,Karnataka,"26,78,980",3.65%,984,75.14
Sikar,Rajasthan,"26,77,333",17.03%,947,71.91
Bilaspur,Chhattisgarh,"26,63,629",33.29%,971,70.78
Kollam,Kerala,"26,35,375",1.94%,1113,94.09
Raigarh,Maharashtra,"26,34,200",19.31%,959,83.14
Fatehpur,Uttar Pradesh,"26,32,733",14.05%,901,67.43
Cuttack,Orissa,"26,24,470",12.10%,940,85.5
Cuddalore,Tamil Nadu,"26,05,914",14.02%,987,78.04
Barmer,Rajasthan,"26,03,751",32.52%,902,56.53
Buldana,Maharashtra,"25,86,258",15.85%,934,83.4
Bid,Maharashtra,"25,85,049",19.61%,916,76.99
Ajmer,Rajasthan,"25,83,052",18.40%,951,69.33
Gulbarga,Karnataka,"25,66,326",18.01%,971,64.85
Gopalganj,Bihar,"25,62,012",19.02%,1021,65.47
Siddharth Nagar,Uttar Pradesh,"25,59,297",25.45%,976,59.25
Nizamabad,Andhra Pradesh,"25,51,335",8.77%,1040,61.25
Bharatpur,Rajasthan,"25,48,462",21.29%,880,70.11
Mathura,Uttar Pradesh,"25,47,184",22.78%,863,70.36
West Delhi,Delhi,"25,43,243",19.46%,875,86.98
Aurangabad,Bihar,"25,40,073",26.18%,926,70.32
Kannur,Kerala,"25,23,003",4.73%,1136,95.1
Mayurbhanj,Orissa,"25,19,738",13.33%,1006,63.17
Firozabad,Uttar Pradesh,"24,98,156",21.69%,875,71.92
Mirzapur,Uttar Pradesh,"24,96,970",18.00%,903,68.48
Amritsar,Punjab,"24,90,656",15.47%,889,76.27
Tiruppur,Tamil Nadu,"24,79,052",29.11%,989,78.68
Faizabad,Uttar Pradesh,"24,70,996",18.29%,962,68.73
Tiruvannamalai,Tamil Nadu,"24,64,875",12.75%,994,74.21
Basti,Uttar Pradesh,"24,64,464",18.21%,963,67.22
Jabalpur,Madhya Pradesh,"24,63,289",14.51%,929,81.07
Latur,Maharashtra,"24,54,196",17.97%,928,77.26
Bellary,Karnataka,"24,52,595",20.99%,983,67.43
Giridih,Jharkhand,"24,45,474",28.41%,944,63.14
Sabarkantha,Gujarat,"24,28,589",16.62%,952,75.79
Bhilwara,Rajasthan,"24,08,523",19.60%,973,61.37
Thanjavur,Tamil Nadu,"24,05,890",8.56%,1035,82.64
Ambedkar Nagar,Uttar Pradesh,"23,97,888",18.30%,978,72.23
PanchMahal,Gujarat,"23,90,776",18.05%,949,70.99
Sagar,Madhya Pradesh,"23,78,458",17.63%,893,76.46
Bhopal,Madhya Pradesh,"23,71,061",28.62%,918,80.37
Rewa,Madhya Pradesh,"23,65,106",19.86%,931,71.62
Bikaner,Rajasthan,"23,63,937",41.19%,905,65.13
Surguja,Chhattisgarh,"23,59,886",19.66%,978,60.01
Vizianagaram,Andhra Pradesh,"23,44,474",4.23%,1019,58.89
Rampur,Uttar Pradesh,"23,35,819",21.42%,909,53.34
Baleshwar,Orissa,"23,20,529",14.62%,957,79.79
Kheda,Gujarat,"22,99,885",13.62%,940,82.65
Gurdaspur,Punjab,"22,98,323",9.26%,895,79.95
Purbi Singhbhum,Jharkhand,"22,93,919",15.68%,949,75.49
South West Delhi,Delhi,"22,92,958",30.65%,840,88.28
Erode,Tamil Nadu,"22,51,744",11.66%,993,72.58
Khordha,Orissa,"22,51,673",19.94%,929,86.88
North East Delhi,Delhi,"22,41,624",26.78%,886,83.09
Supaul,Bihar,"22,29,076",28.66%,929,57.67
Satna,Madhya Pradesh,"22,28,935",19.19%,926,72.26
Nawada,Bihar,"22,19,146",22.63%,939,59.76
Mau,Uttar Pradesh,"22,05,968",18.98%,979,73.09
Chandrapur,Maharashtra,"22,04,307",6.43%,961,80.01
Jalandhar,Punjab,"21,93,590",11.76%,915,82.48
Dhar,Madhya Pradesh,"21,85,793",25.60%,964,59
Bijapur,Karnataka,"21,77,331",20.50%,960,67.15
Jamnagar,Gujarat,"21,60,119",13.44%,939,73.65
Dindigul,Tamil Nadu,"21,59,775",12.31%,998,76.26
Balrampur,Uttar Pradesh,"21,48,665",27.72%,928,49.51
Jhunjhunun,Rajasthan,"21,37,045",11.67%,950,74.13
Alappuzha,Kerala,"21,27,789",0.88%,1100,95.72
Dohad,Gujarat,"21,27,086",29.98%,990,58.82
Sundargarh,Orissa,"20,93,437",14.35%,973,73.34
Anand,Gujarat,"20,92,745",12.70%,925,84.37
Kachchh,Gujarat,"20,92,371",32.16%,908,70.59
Chhindwara,Madhya Pradesh,"20,90,922",13.07%,964,71.16
Dakshina Kannada,Karnataka,"20,89,649",10.11%,1020,88.57
Bokaro,Jharkhand,"20,62,330",16.01%,922,72.01
Dhule,Maharashtra,"20,50,862",20.08%,946,72.8
Churu,Rajasthan,"20,39,547",6.01%,940,66.75
Pali,Rajasthan,"20,37,573",11.94%,987,62.39
Mahesana,Gujarat,"20,35,064",10.73%,926,83.61
Banka,Bihar,"20,34,763",26.48%,907,58.17
Gwalior,Madhya Pradesh,"20,32,036",24.50%,864,76.65
Pilibhit,Uttar Pradesh,"20,31,007",23.45%,895,61.47
Firozpur,Punjab,"20,29,074",16.21%,893,68.92
Madhepura,Bihar,"20,01,762",31.12%,911,52.25
Jhansi,Uttar Pradesh,"19,98,603",14.54%,890,75.05
Ujjain,Madhya Pradesh,"19,86,864",16.12%,955,72.34
Kottayam,Kerala,"19,74,551",1.07%,1039,97.21
Ganganagar,Rajasthan,"19,69,168",10.04%,887,69.64
Morena,Madhya Pradesh,"19,65,970",23.44%,840,71.03
Jalna,Maharashtra,"19,59,046",21.46%,937,71.52
Chandauli,Uttar Pradesh,"19,52,756",18.83%,918,71.48
Kota,Rajasthan,"19,51,014",24.39%,911,76.56
Dhubri,Assam,"19,49,258",24.44%,953,58.34
Davanagere,Karnataka,"19,45,497",8.63%,972,75.74
Virudhunagar,Tamil Nadu,"19,42,288",10.91%,1007,80.15
Palamu,Jharkhand,"19,39,869",26.17%,928,63.63
Raichur,Karnataka,"19,28,812",15.51%,1000,59.56
Sonitpur,Assam,"19,24,110",15.55%,956,67.34
Saharsa,Bihar,"19,00,661",26.02%,906,53.2
Patiala,Punjab,"18,95,686",19.62%,891,75.28
Haridwar,Uttarakhand,"18,90,422",30.63%,880,73.43
Bagalkot,Karnataka,"18,89,752",14.40%,989,68.82
Farrukhabad,Uttar Pradesh,"18,85,204",20.05%,874,69.04
Krishnagiri,Tamil Nadu,"18,79,809",20.41%,958,71.46
West Nimar,Madhya Pradesh,"18,73,046",22.85%,965,62.7
Kanniyakumari,Tamil Nadu,"18,70,374",11.60%,1019,91.75
Mainpuri,Uttar Pradesh,"18,68,529",17.02%,881,75.99
Sonbhadra,Uttar Pradesh,"18,62,559",27.27%,918,64.03
Dharwad,Karnataka,"18,47,023",15.13%,971,80
Darjiling,West Bengal,"18,46,823",14.77%,970,79.56
Jyotiba Phule Nagar,Uttar Pradesh,"18,40,221",22.76%,910,63.84
Parbhani,Maharashtra,"18,36,086",20.19%,947,73.34
Jalor,Rajasthan,"18,28,730",26.21%,952,54.86
Jajapur,Orissa,"18,27,192",12.49%,973,80.13
Akola,Maharashtra,"18,13,906",11.27%,946,88.05
Faridabad,Haryana,"18,09,733",32.54%,873,81.7
Mandya,Karnataka,"18,05,769",2.38%,995,70.4
Kendujhar,Orissa,"18,01,733",15.35%,988,68.24
Banda,Uttar Pradesh,"17,99,410",17.05%,863,66.67
Banswara,Rajasthan,"17,97,485",26.53%,980,56.33
Ramabai Nagar,Uttar Pradesh,"17,96,184",14.89%,865,75.78
Hassan,Karnataka,"17,76,421",3.18%,1010,76.07
Hanumangarh,Rajasthan,"17,74,692",16.91%,906,67.13
Etah,Uttar Pradesh,"17,74,480",13.62%,873,70.81
Chhattarpur,Madhya Pradesh,"17,62,375",19.51%,883,63.74
Jamui,Bihar,"17,60,405",25.85%,922,59.79
Surendranagar,Gujarat,"17,56,268",15.91%,930,72.13
Shimoga,Karnataka,"17,52,753",6.71%,998,80.45
Thoothukkudi,Tamil Nadu,"17,50,176",11.32%,1023,86.16
Hisar,Haryana,"17,43,931",13.45%,872,72.89
Cachar,Assam,"17,36,617",20.19%,959,79.34
Hazaribagh,Jharkhand,"17,34,495",20.65%,947,69.75
Namakkal,Tamil Nadu,"17,26,601",15.61%,986,74.63
Shivpuri,Madhya Pradesh,"17,26,050",22.76%,877,62.55
West Tripura,Tripura,"17,25,739",12.57%,962,88.69
Sant Kabir Nagar,Uttar Pradesh,"17,15,183",20.77%,972,66.72
East Delhi,Delhi,"17,09,346",16.79%,884,89.31
Buxar,Bihar,"17,06,352",21.67%,922,70.14
Valsad,Gujarat,"17,05,678",20.92%,922,78.55
Bidar,Karnataka,"17,03,300",13.37%,956,70.51
Bhind,Madhya Pradesh,"17,03,005",19.21%,837,75.26
Balaghat,Madhya Pradesh,"17,01,698",13.60%,1021,77.09
Puri,Orissa,"16,98,730",13.05%,963,84.67
Dehradun,Uttarakhand,"16,96,694",32.33%,902,84.25
Barpeta,Assam,"16,93,622",21.43%,953,63.81
Kishanganj,Bihar,"16,90,400",30.40%,950,55.46
Jalaun,Uttar Pradesh,"16,89,974",16.19%,865,73.75
Dakshin Dinajpur,West Bengal,"16,76,276",11.52%,956,72.82
Khagaria,Bihar,"16,66,886",30.19%,886,57.92
Chitradurga,Karnataka,"16,59,456",9.33%,974,73.71
Osmanabad,Maharashtra,"16,57,576",11.50%,924,78.44
Kannauj,Uttar Pradesh,"16,56,616",19.27%,879,72.7
Sangrur,Punjab,"16,55,169",12.35%,885,67.99
Balangir,Orissa,"16,48,997",23.32%,987,64.72
Udham Singh Nagar,Uttarakhand,"16,48,902",33.45%,920,73.1
Nandurbar,Maharashtra,"16,48,295",25.66%,978,64.38
Gautam Buddha Nagar,Uttar Pradesh,"16,48,115",37.11%,851,80.12
Bhiwani,Haryana,"16,34,445",14.70%,886,75.21
Dausa,Rajasthan,"16,34,409",24.09%,905,68.16
Kaimur,Bihar,"16,26,384",26.17%,920,69.34
Janjgir Champa,Chhattisgarh,"16,19,707",22.94%,986,73.07
Pudukkottai,Tamil Nadu,"16,18,345",10.88%,1015,77.19
Nagapattinam,Tamil Nadu,"16,16,450",8.57%,1025,83.59
Ratnagiri,Maharashtra,"16,15,069",-4.82%,1122,82.18
Kaushambi,Uttar Pradesh,"15,99,596",23.70%,908,61.28
Haveri,Karnataka,"15,97,668",11.02%,950,77.4
Hoshiarpur,Punjab,"15,86,625",7.11%,961,84.59
Etawah,Uttar Pradesh,"15,81,810",18.15%,870,78.41
Sant Ravidas Nagar,Uttar Pradesh,"15,78,213",16.58%,955,68.97
Kalahandi,Orissa,"15,76,869",18.07%,1003,59.22
Betul,Madhya Pradesh,"15,75,362",12.92%,971,68.9
Mahamaya Nagar,Uttar Pradesh,"15,64,708",17.12%,871,71.59
Dewas,Madhya Pradesh,"15,63,715",19.53%,942,69.35
Bharuch,Gujarat,"15,51,019",13.16%,925,81.51
Rajgarh,Madhya Pradesh,"15,45,814",23.26%,956,61.21
Chittaurgarh,Rajasthan,"15,44,338",16.08%,972,61.71
Rajnandgaon,Chhattisgarh,"15,37,133",19.79%,1015,75.96
Kolar,Karnataka,"15,36,401",10.77%,979,74.39
Jammu,Jammu and Kashmir,"15,29,958",12.74%,880,83.45
Kamrup,Assam,"15,17,542",15.69%,949,75.55
Gurgaon,Haryana,"15,14,432",73.96%,854,84.7
Amreli,Gujarat,"15,14,190",8.63%,964,74.25
Shajapur,Madhya Pradesh,"15,12,681",17.20%,938,69.09
Kangra,Himachal Pradesh,"15,10,075",12.77%,1012,85.67
Dharmapuri,Tamil Nadu,"15,06,843",16.34%,946,68.54
Bhadrak,Orissa,"15,06,337",12.94%,981,82.78
Karnal,Haryana,"15,05,324",18.14%,887,74.73
Pashchimi Singhbhum,Jharkhand,"15,02,338",21.75%,1005,58.63
Raigarh,Chhattisgarh,"14,93,984",18.05%,991,73.26
Deoghar,Jharkhand,"14,92,073",28.03%,925,64.85
Bargarh,Orissa,"14,81,255",10.02%,977,74.62
Vidisha,Madhya Pradesh,"14,58,875",20.09%,896,70.53
Karauli,Rajasthan,"14,58,248",20.55%,861,66.22
Ratlam,Madhya Pradesh,"14,55,069",19.72%,971,66.78
Sonipat,Haryana,"14,50,001",13.35%,856,79.12
Tikamgarh,Madhya Pradesh,"14,45,166",20.13%,901,61.43
Kendrapara,Orissa,"14,40,361",10.63%,1007,85.15
Uttara Kannada,Karnataka,"14,37,169",6.17%,979,84.06
Kanshiram Nagar,Uttar Pradesh,"14,36,719",16.93%,880,61.02
Tonk,Rajasthan,"14,21,326",17.30%,952,61.58
Bastar,Chhattisgarh,"14,13,199",17.96%,1023,54.4
Jhalawar,Rajasthan,"14,11,129",19.55%,946,61.5
Gandhinagar,Gujarat,"13,91,753",4.29%,923,84.16
Koppal,Karnataka,"13,89,920",16.21%,986,68.09
Dungarpur,Rajasthan,"13,88,552",25.36%,994,59.46
Bathinda,Punjab,"13,88,525",17.34%,868,68.28
Barwani,Madhya Pradesh,"13,85,881",27.57%,982,49.08
Koraput,Orissa,"13,79,647",16.86%,1032,49.21
Auraiya,Uttar Pradesh,"13,79,545",16.91%,864,78.95
Seoni,Madhya Pradesh,"13,79,131",18.22%,982,72.12
Munger,Bihar,"13,67,765",20.21%,876,70.46
Ramanathapuram,Tamil Nadu,"13,53,445",13.96%,983,80.72
Patan,Gujarat,"13,43,734",13.61%,935,72.3
Mandsaur,Madhya Pradesh,"13,40,411",13.24%,963,71.78
Sivaganga,Tamil Nadu,"13,39,101",15.90%,1003,79.85
Sawai Madhopur,Rajasthan,"13,35,551",19.56%,897,65.39
Jind,Haryana,"13,34,152",12.13%,871,71.44
Raisen,Madhya Pradesh,"13,31,597",18.35%,901,72.98
Navsari,Gujarat,"13,29,672",8.15%,961,83.88
Tinsukia,Assam,"13,27,929",15.47%,952,69.66
Dibrugarh,Assam,"13,26,335",11.92%,961,76.05
Garhwa,Jharkhand,"13,22,784",27.75%,935,60.33
Gondiya,Maharashtra,"13,22,507",10.14%,999,84.95
Dumka,Jharkhand,"13,21,442",19.42%,977,61.02
Godda,Jharkhand,"13,13,551",25.35%,938,56.4
Sehore,Madhya Pradesh,"13,11,332",21.54%,918,70.06
East Nimar,Madhya Pradesh,"13,10,061",21.50%,943,66.39
Kasaragod,Kerala,"13,07,375",8.58%,1080,90.09
Baghpat,Uttar Pradesh,"13,03,048",11.95%,861,72.01
Wardha,Maharashtra,"13,00,774",5.18%,946,86.99
Sirsa,Haryana,"12,95,189",15.99%,897,68.82
Katni,Madhya Pradesh,"12,92,042",21.41%,952,71.98
Anugul,Orissa,"12,73,821",11.74%,943,77.53
Thiruvarur,Tamil Nadu,"12,64,277",8.11%,1017,82.86
Damoh,Madhya Pradesh,"12,64,219",16.63%,910,69.73
Chikkaballapura,Karnataka,"12,55,104",9.23%,972,69.76
Kamrup Metropolitan,Assam,"12,53,938",18.34%,936,88.71
Theni,Tamil Nadu,"12,45,899",13.89%,991,77.26
Guna,Madhya Pradesh,"12,41,519",26.97%,912,63.23
Hoshangabad,Madhya Pradesh,"12,41,350",14.49%,914,75.29
Srinagar,Jammu and Kashmir,"12,36,829",20.35%,900,69.41
Karimganj,Assam,"12,28,686",21.90%,963,78.22
Baran,Rajasthan,"12,22,755",19.68%,929,66.66
Lalitpur,Uttar Pradesh,"12,21,592",24.94%,906,63.52
Nabarangapur,Orissa,"12,20,946",19.03%,1019,46.43
Yamunanagar,Haryana,"12,14,205",16.57%,877,77.99
Korba,Chhattisgarh,"12,06,640",19.25%,969,72.37
Dhaulpur,Rajasthan,"12,06,516",22.71%,846,69.08
Panipat,Haryana,"12,05,437",24.60%,864,75.94
Bhandara,Maharashtra,"12,00,334",5.65%,982,83.76
Pathanamthitta,Kerala,"11,97,412",-2.97%,1132,96.55
Washim,Maharashtra,"11,97,160",17.34%,930,83.25
Dhenkanal,Orissa,"11,92,811",11.80%,947,78.76
Singrauli,Madhya Pradesh,"11,78,273",28.05%,920,60.41
Udupi,Karnataka,"11,77,361",5.85%,1094,86.24
Hingoli,Maharashtra,"11,77,345",19.27%,942,78.17
Yadgir,Karnataka,"11,74,271",22.81%,989,51.83
Rajsamand,Rajasthan,"11,56,597",17.18%,990,63.14
Sivasagar,Assam,"11,51,050",9.44%,954,80.41
Sahibganj,Jharkhand,"11,50,567",24.01%,952,52.04
Chikmagalur,Karnataka,"11,37,961",-0.26%,1008,79.25
Jagatsinghapur,Orissa,"11,36,971",7.50%,968,86.59
Ambala,Haryana,"11,28,350",11.23%,885,81.75
Sidhi,Madhya Pradesh,"11,27,033",23.72%,957,64.43
Jehanabad,Bihar,"11,25,313",21.68%,922,66.8
Tarn Taran,Punjab,"11,19,627",19.23%,900,67.81
Shrawasti,Uttar Pradesh,"11,17,361",-5.02%,881,46.74
Bundi,Rajasthan,"11,10,906",15.40%,925,61.52
Idukki,Kerala,"11,08,974",-1.79%,1006,91.99
Hamirpur,Uttar Pradesh,"11,04,285",5.80%,861,68.77
Jorhat,Assam,"10,92,256",9.31%,962,82.15
Narsimhapur,Madhya Pradesh,"10,91,854",14.01%,920,75.69
Mewat,Haryana,"10,89,263",37.93%,907,54.08
Ramanagara,Karnataka,"10,82,636",5.05%,976,69.22
Anantnag,Jammu and Kashmir,"10,78,692",38.58%,927,62.69
Kaithal,Haryana,"10,74,304",13.55%,881,69.15
Gadchiroli,Maharashtra,"10,72,942",10.58%,982,74.36
Golaghat,Assam,"10,66,888",12.75%,964,77.43
Shahdol,Madhya Pradesh,"10,66,063",17.39%,974,66.67
Saraikela Kharsawan,Jharkhand,"10,65,056",25.47%,956,67.7
Gadag,Karnataka,"10,64,570",9.54%,982,75.12
Karur,Tamil Nadu,"10,64,493",13.77%,1015,75.6
Rohtak,Haryana,"10,61,204",12.88%,867,80.22
Chandigarh,Chandigarh,"10,55,450",17.19%,818,86.05
Mandla,Madhya Pradesh,"10,54,905",17.97%,1008,66.87
Chatra,Jharkhand,"10,42,886",31.77%,953,60.18
Palwal,Haryana,"10,42,708",25.76%,880,69.32
Lakhimpur,Assam,"10,42,137",17.22%,968,77.2
